t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,ah_accum_chg,wh_accum_chg,soc_gt_chg,soc_est_chg,phase_chg,t_rem_true_min,i_mean_60s,t_rem_min_chg_raw,t_rem_min_chg
0,3.2053666666666665,3.356,3.1982,49.1257,0.4915666666666666,CHG,27.973866666666662,0.0,0.0,1.5756520633333333,0.0,0.0,0.0,0.0,CHG,494.11266666666666,0.4915666666666666,490.8015895833333,490.8015895833333
2671,3.2043,3.3513,3.2085,49.1997,0.491325,CHG,27.9678,2.671,2.671,1.5743539625,0.0003645358541666,0.0011680822375062,0.0001026866236489,0.0001104654103535,CHG,494.06815,0.4914458333333333,490.8015895833333,490.8015895833333
5342,3.20348,3.3557,3.2165,49.1681,0.49132,CHG,27.99264,5.342,2.671,1.573934822,0.0007290679986111,0.0023358536715911,0.0002053722023009,0.0002209296965488,CHG,494.0236333333333,0.4914038888888889,490.8015895833333,490.8015895833333
8013,3.20334,3.348,3.2072,49.0609,0.49108,CHG,27.97146,8.013,2.6710000000000003,1.57309791,0.0010934220763888,0.0035030036630998,0.0003080076211001,0.0003313400231481,CHG,493.9791166666666,0.49132291666666666,490.8015895833333,490.8015895833333
10684,3.20106,3.3452,3.1952,49.1348,0.491,CHG,27.92582,10.684,2.671,1.5717207700000002,0.0014577167986111,0.0046691329266164,0.0004106263199483,0.0004417323632154,CHG,493.93459999999993,0.4912583333333333,490.8015895833333,490.8015895833333
13355,3.19994,3.3494,3.2038,49.0251,0.49078,CHG,27.93314,13.355,2.671000000000001,1.570465584,0.0018218482930555,0.005834331860949,0.0005131990389315,0.0005520752403198,CHG,493.8900833333333,0.4911786111111111,490.8015895833333,490.8015895833333
16026,3.20116,3.341,3.1853,49.1553,0.49062,CHG,27.974200000000003,16.026,2.671,1.570550964,0.0021858610763888,0.0069995950224443,0.0006157383180129,0.0006623821443602,CHG,493.8455666666666,0.4910988095238095,490.8015895833333,490.8015895833333
18697,3.2014400000000003,3.3569,3.2057,49.0529,0.49038,CHG,27.93746,18.697,2.671,1.569920144,0.0025496957930555,0.0081643900377696,0.0007182274372414,0.0007726350888047,CHG,493.80105,0.4910089583333333,490.8015895833333,490.8015895833333
21369,3.20358,3.356,3.1971,48.9857,0.49044,CHG,27.967920000000003,21.369,2.6720000000000006,1.571161422,0.0029137112597222,0.0093305427064736,0.0008207674721947,0.0008829428059764,CHG,493.7565166666666,0.4909457407407407,490.8015895833333,490.8015895833333
24040,3.20512,3.3441,3.1996,49.0164,0.4902,CHG,27.98886,24.04,2.671,1.57114966,0.0032774124263888,0.0104962485897803,0.0009232189715337,0.0009931552807239,CHG,493.71199999999993,0.4908711666666667,490.8015895833333,490.8015895833333
26711,3.2050399999999994,3.3578,3.216,49.035,0.4904799999999999,CHG,28.00252,26.711,2.671,1.572007064,0.0036413213375,0.0116625912062479,0.0010257289907009,0.0011034307083333,CHG,493.6674833333333,0.49083560606060606,490.8015895833333,490.8015895833333
29383,3.20364,3.3477,3.1957,49.0397,0.4906,CHG,27.9767,29.383,2.6720000000000006,1.571705368,0.0040054555597222,0.0128291461659279,0.0011283024780757,0.001213774412037,CHG,493.62295,0.49081597222222223,490.8015895833333,490.8015895833333
32054,3.20368,3.3591,3.2091,49.1984,0.4907199999999999,CHG,28.00946,32.054,2.671000000000003,1.5721091880000002,0.0043695425375,0.013995564334895,0.0012308626570957,0.0013241037992424,CHG,493.5784333333333,0.4908085897435897,490.8015895833333,490.8015895833333
34725,3.20282,3.353,3.2064,49.0432,0.49078,CHG,28.046479999999995,34.725,2.671,1.57187995,0.0047336740319444,0.0151618119679315,0.0013334353760789,0.0014344466763468,CHG,493.5339166666666,0.4908065476190476,490.8015895833333,490.8015895833333
37396,3.20248,3.3569,3.2033,49.0789,0.49084,CHG,28.04774,37.396,2.671,1.571905314,0.0050978500430555,0.0163280783599946,0.0014360206350253,0.0015448030433501,CHG,493.4894,0.49080877777777776,490.8015895833333,490.8015895833333
40067,3.2016,3.3557,3.2067,49.065,0.4904799999999999,CHG,28.06854,40.067,2.671,1.5703211979999998,0.0054617589541666,0.017493169129808,0.0015385306541925,0.0016550784709595,CHG,493.4448833333333,0.49078822916666665,490.8015895833333,490.8015895833333
42738,3.2014,3.3499,3.2055,49.0633,0.49038,CHG,28.06124,42.738,2.671,1.569903198,0.0058255936708333,0.0186579495917447,0.001641019773421,0.001765331415404,CHG,493.4003666666666,0.4907642156862745,490.8015895833333,490.8015895833333
45409,3.20068,3.3452,3.1957,49.0199,0.49028,CHG,28.06416,45.409,2.671,1.5692300739999998,0.0061893541930555,0.0198222306200109,0.0017434879927109,0.0018755618766835,CHG,493.35585,0.4907373148148148,490.8015895833333,490.8015895833333
48080,3.20004,3.3482,3.1991,48.9931,0.49022,CHG,28.00454,48.08,2.671,1.568723862,0.0065530701986111,0.0209861363864289,0.0018459436720376,0.0019857788480639,CHG,493.31133333333327,0.4907100877192982,490.8015895833333,490.8015895833333
50751,3.20146,3.3464,3.2057,49.0222,0.49012,CHG,28.0191,50.751,2.671,1.569099694,0.0069167120097222,0.0221503210990286,0.0019483784514256,0.0020959733362794,CHG,493.2668166666666,0.4906805833333333,490.8011481927142,490.8011481927142
53422,3.20226,3.3523,3.2038,49.0339,0.49056,CHG,27.9753,53.422,2.671,1.57090061,0.0072806802763888,0.0233158421206446,0.0020509051905437,0.0022062667504208,CHG,493.2223,0.4906748412698413,490.79969344656655,490.79969344656655
56093,3.2038,3.3574,3.2161,49.0197,0.49118,CHG,28.011380000000003,56.093,2.6710000000000065,1.5736433340000002,0.0076451085486111,0.0244833974191902,0.0021535615092816,0.0023166995601851,CHG,493.1777833333333,0.490697803030303,490.7971609552172,490.7971609552172
58765,3.20346,3.3603,3.205,49.235,0.49162,CHG,28.00956,58.765,2.671999999999997,1.574883126,0.0080099998375,0.0256523120674942,0.0022563482558434,0.0024272726780303,CHG,493.13325,0.49073789855072464,490.79357039466527,490.79357039466527
61436,3.2034400000000005,3.3507,3.2087,49.3029,0.49204,CHG,28.04204,61.436,2.671,1.5762188739999998,0.0083750661819444,0.0268217801979413,0.0023591843140537,0.0025378988430134,CHG,493.08873333333327,0.4907921527777777,490.788921257305,490.788921257305
64107,3.20428,3.346,3.1944,49.2442,0.49254,CHG,28.04916,64.107,2.671,1.578236758,0.0087405034986111,0.02799274368299,0.0024621248719575,0.0026486374238215,CHG,493.0442166666666,0.4908620666666666,490.78321246743457,490.78321246743457
66778,3.2047600000000003,3.3569,3.2002,49.2477,0.49256,CHG,28.07434,66.778,2.6710000000000065,1.578537148,0.0091059556541666,0.0291639301330282,0.0025650696098489,0.0027593805012626,CHG,492.9997,0.4909273717948718,490.7764439820256,490.7764439820256
69449,3.20516,3.3732,3.2136,49.2657,0.49226,CHG,28.01704,69.449,2.6709999999999923,1.577771678,0.0094711852263888,0.030334549348732,0.0026679516479244,0.0028700561292087,CHG,492.9551833333333,0.49097672839506173,490.7686164464998,490.7686164464998
