t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,ah_accum,soc_gt
0,4.1992666666666665,4.2127,4.1882,50.759,0.5083333333333333,DISCH,27.793333333333333,0.0,0.0,2.134627886666667,0.0,1.0
1013,4.1994,4.209,4.1884,50.555,0.50885,DISCH,27.785,1.013,1.013,2.136865395,0.00014318473611111112,0.9999585156538308
2015,4.19952,4.2117,4.1877,50.6,0.50894,DISCH,27.782,2.015,1.0020000000000002,2.1373043160000003,0.00028483970277777776,0.9999174745217003
3053,4.1998,4.2099,4.1884,50.883,0.5089,DISCH,27.784,3.053,1.0379999999999998,2.137278708,0.0004315725361111111,0.9998749621993835
4037,4.19992,4.2095,4.1888,51.054,0.5090399999999999,DISCH,27.778,4.037,0.984,2.137927378,0.000570710136111111,0.9998346504139215
5030,4.19984,4.2114,4.1904,51.341,0.50884,DISCH,27.778,5.03,0.9930000000000004,2.13704687,0.0007110651694444444,0.9997939859063242
6100,4.19974,4.2105,4.1888,50.705,0.50874,DISCH,27.784,6.1,1.0699999999999994,2.1365759,0.0008622740027777777,0.9997501767702653
7108,4.1994,4.2088,4.1897,50.637,0.50846,DISCH,27.790000000000003,7.108,1.008,2.1352272140000004,0.0010046428027777777,0.9997089288220321
8100,4.19868,4.2101,4.189,51.012,0.50864,DISCH,27.786,8.1,0.992,2.135616698,0.0011448013805555554,0.9996683212327244
9132,4.198600000000001,4.2096,4.1877,50.863,0.5086999999999999,DISCH,27.784,9.132,1.032,2.135827972,0.0012906287138888888,0.9996260712573343
10148,4.19858,4.2094,4.1872,50.717,0.50868,DISCH,27.782,10.148,1.016,2.1357338340000003,0.0014341895138888887,0.9995844779556647
11170,4.1988,4.2101,4.1878,50.717,0.50846,DISCH,27.778,11.17,1.0220000000000002,2.134921924,0.0015785356583333332,0.9995426571192616
12168,4.1992400000000005,4.2112,4.1885,50.979,0.5086999999999999,DISCH,27.77,12.168,0.9979999999999992,2.13615352,0.0017195586027777777,0.999501799100425
13111,4.19986,4.2123,4.19,51.074,0.50864,DISCH,27.778,13.111,0.9430000000000014,2.136217332,0.001852794025,0.9994631973295408
14140,4.20012,4.2115,4.1888,50.948,0.5084799999999999,DISCH,27.784,14.14,1.029,2.135677502,0.001998134558333333,0.9994210883927855
15107,4.2004,4.2128,4.1912,50.935,0.50936,DISCH,27.788,15.107,0.9669999999999987,2.139515918,0.0021349543138888885,0.999381448147209
16121,4.200480000000001,4.2105,4.1887,51.174,0.5093799999999999,DISCH,27.794,16.121,1.0139999999999991,2.139640638,0.002278429680555555,0.9993398795978006
17112,4.20052,4.2124,4.1882,51.397,0.50914,DISCH,27.794,17.112,0.9909999999999995,2.138652834,0.0024185846083333326,0.999299273065993
18112,4.20024,4.2118,4.1884,50.953,0.5088600000000001,DISCH,27.792,18.112,1.0,2.137334286,0.0025599346083333327,0.9992583202906463
19078,4.19988,4.2104,4.1874,50.902,0.50942,DISCH,27.78,19.078,0.9660000000000012,2.139502426,0.0026966289749999995,0.9992187163734957
20061,4.1996,4.2107,4.1862,50.993,0.5087999999999999,DISCH,27.774,20.061,0.9830000000000004,2.1367556980000004,0.0028355596416666665,0.9991784645420082
21107,4.1992,4.2085,4.1863,51.011,0.50864,DISCH,27.768,21.107,1.0459999999999994,2.13588033,0.002983347819444444,0.9991356464589277
22045,4.19936,4.2116,4.1866,50.809,0.50864,DISCH,27.766,22.045,0.9380000000000024,2.1359615940000003,0.003115876797222222,0.9990972493633928
23053,4.1991,4.2104,4.1868,50.776,0.50868,DISCH,27.768,23.053,1.0079999999999991,2.13599751,0.003258307197222222,0.9990559835680357
24045,4.1994,4.2135,4.1889,50.824,0.50862,DISCH,27.776,24.045,0.9920000000000008,2.1358985820000003,0.003398460263888889,0.9990153775754405
25078,4.19944,4.2087,4.188,50.676,0.50846,DISCH,27.774,25.078,1.0329999999999977,2.135247114,0.0035443600361111105,0.9989731066126181
