t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,ah_accum,soc_gt
1014,4.1812000000000005,4.1918,4.1693,49.4444,0.4977,DISCH,27.982466666666667,0.0,0.0,2.0809776733333334,0.0,1.0
2029,4.181825,4.1896,4.1698,50.2161,0.4971,DISCH,27.97985,1.015,1.015,2.0787799075000004,0.00014015458333333332,0.999959267554248
3019,4.18126,4.1923,4.1683,49.8111,0.49824,DISCH,27.98082,2.005,0.99,2.083264166,0.00027717058333333333,0.9999194472597244
4022,4.180960000000001,4.1915,4.1677,49.5456,0.4989,DISCH,27.9847,3.008,1.003,2.085876098,0.0004161696666666666,0.9998790506313245
5015,4.1812,4.1942,4.1703,50.2694,0.49916,DISCH,27.97754,4.001,0.9930000000000004,2.087083656,0.0005538546333333334,0.9998390359182682
6018,4.18112,4.1906,4.1704,49.9454,0.4998999999999999,DISCH,27.98512,5.004,1.0029999999999992,2.090137434,0.0006931323277777776,0.9997985583184744
7016,4.18042,4.1907,4.1687,50.2837,0.50048,DISCH,27.980560000000004,6.002,0.9980000000000002,2.09221524,0.0008318765055555555,0.9997582357720379
8016,4.1803,4.1912,4.1702,50.087,0.50014,DISCH,27.97498,7.002,1.0,2.0907342479999995,0.0009708042833333333,0.9997178598668253
9026,4.18024,4.1905,4.1714,49.7683,0.50132,DISCH,27.994980000000005,8.012,1.010000000000001,2.095638504,0.0011114523944444445,0.9996769839894925
10027,4.1801,4.1916,4.1695,49.885,0.50132,DISCH,28.0103,9.013,1.0009999999999994,2.095567986,0.0012508472055555555,0.9996364723526507
11017,4.18028,4.19,4.1723,50.2115,0.50096,DISCH,28.00602,10.003,0.9900000000000002,2.09415288,0.0013886112055555553,0.9995964346705206
12006,4.1803,4.1919,4.1676,50.4024,0.50118,DISCH,28.01702,10.992,0.9890000000000008,2.09508251,0.0015262964888888887,0.999556419865433
13002,4.1806,4.1896,4.1679,50.0255,0.5006,DISCH,28.0163,11.988,0.9959999999999988,2.092808498,0.001664795822222222,0.999516168476948
14000,4.180280000000001,4.1924,4.1675,49.9204,0.4998599999999999,DISCH,28.01742,12.986,0.9980000000000012,2.089554646,0.001803368122222222,0.9994758958825152
15003,4.18036,4.1936,4.1688,49.7169,0.49928,DISCH,28.021000000000004,13.989,1.003,2.08717031,0.0019424730777777774,0.9994354684849857
15988,4.17982,4.1894,4.1703,50.0698,0.49934,DISCH,28.00958,14.974,0.9849999999999994,2.08715141,0.0020790980499999995,0.9993957618329657
16986,4.179460000000001,4.19,4.1708,49.9777,0.49878,DISCH,28.02448,15.972,0.9979999999999992,2.0846317020000003,0.0022173709499999994,0.9993555762517006
17984,4.17936,4.1907,4.171,50.1979,0.4983799999999999,DISCH,28.04784,16.97,0.9979999999999992,2.082910122,0.0023555329611111104,0.9993154228975345
18977,4.17948,4.1913,4.1701,49.7914,0.4995199999999999,DISCH,28.0103,17.963,0.993000000000002,2.087735634,0.002493317227777777,0.9992753793254016
19978,4.1793,4.1912,4.1712,49.6777,0.49954,DISCH,28.00344,18.964,1.0009999999999977,2.08772908,0.0026322170999999992,0.999235011530245
20970,4.1796,4.1907,4.1665,50.5393,0.4993599999999999,DISCH,28.0257,19.956,0.9920000000000008,2.087126524,0.002769818522222222,0.9991950210973046
21968,4.17966,4.1914,4.1687,50.209,0.4983599999999999,DISCH,28.01558,20.954,0.9980000000000012,2.082977514,0.0029079749888888885,0.9991548693544936
22961,4.18022,4.1917,4.169,49.8311,0.49832,DISCH,27.998200000000004,21.947,0.9929999999999986,2.083088098,0.0030454282555555548,0.9991149219792826
23959,4.1802,4.1923,4.1681,49.1577,0.49752,DISCH,28.02402,22.945,0.9980000000000012,2.079733768,0.003183351855555555,0.9990748379133798
24963,4.180339999999999,4.1927,4.1712,49.5846,0.49754,DISCH,28.01654,23.949,1.0040000000000011,2.079887498,0.0033221102333333328,0.9990345112400663
25966,4.18032,4.1877,4.1699,50.0014,0.49836,DISCH,27.9991,24.952,1.003,2.083305206,0.003460958866666666,0.9989941583362191
26967,4.18098,4.1871,4.1693,49.9578,0.5010600000000001,DISCH,28.00288,25.953,1.0009999999999977,2.094921266,0.0036002813833333324,0.9989536677099606
27982,4.18064,4.1936,4.1674,50.2376,0.50214,DISCH,28.01062,26.968,1.0150000000000006,2.099267566,0.0037418569666666656,0.9989125222858811
28972,4.1798,4.1938,4.1665,50.4208,0.5013799999999999,DISCH,28.00668,27.958,0.9899999999999984,2.09567331,0.0038797364666666653,0.998872451036547
29982,4.17962,4.1895,4.1693,50.1068,0.50088,DISCH,28.01226,28.968,1.0100000000000016,2.09349348,0.004020261133333332,0.9988316110352735
30981,4.179119999999999,4.1893,4.167,49.7855,0.50062,DISCH,28.02368,29.967,0.9989999999999988,2.092155904,0.0041591831833333315,0.9987912367946971
31984,4.178179999999999,4.1931,4.1674,49.7306,0.50034,DISCH,28.03936,30.97,1.003,2.090511532,0.004298583466666665,0.9987507235674901
32977,4.17744,4.1865,4.166,50.1527,0.49982,DISCH,28.03292,31.963,0.993000000000002,2.08796856,0.004436450483333332,0.9987106559461264
33977,4.177919999999999,4.1917,4.1683,50.3748,0.50082,DISCH,28.02508,32.963,1.0,2.092385476,0.0045755671499999985,0.9986702251450535
34968,4.177499999999999,4.1919,4.1667,49.9786,0.4996,DISCH,28.0182,33.954,0.9909999999999995,2.087079922,0.004713095927777776,0.9986302558244152
35980,4.17772,4.1892,4.1686,50.1922,0.49996,DISCH,28.00514,34.966,1.0120000000000005,2.088694584,0.004853640238888888,0.9985894101139723
36981,4.17794,4.1897,4.1685,49.2126,0.5001599999999999,DISCH,27.9858,35.967,1.0009999999999977,2.0896410760000004,0.004992712505555554,0.9985489922166557
37976,4.17872,4.19,4.1699,50.3713,0.49822,DISCH,27.9769,36.962,0.9950000000000044,2.0819195820000003,0.005130414977777777,0.9985089724160447
38967,4.178459999999999,4.1907,4.1666,50.5092,0.49878,DISCH,27.9979,37.953,0.9909999999999995,2.084128372,0.005267718027777777,0.998469068697574
39966,4.178120000000001,4.1909,4.1667,49.0358,0.5005,DISCH,28.007420000000003,38.952,0.9989999999999952,2.091142816,0.005406606777777777,0.9984287041348149
40967,4.17748,4.1909,4.1685,50.4226,0.5000199999999999,DISCH,28.02072,39.953,1.0010000000000048,2.088816464,0.005545640116666666,0.9983882975508893
41963,4.17738,4.187,4.1708,50.3588,0.4998599999999999,DISCH,28.03382,40.949,0.9959999999999952,2.088097524,0.005683934716666665,0.9983481056630585
42968,4.17738,4.1889,4.1677,49.9981,0.50244,DISCH,28.060360000000003,41.954,1.0050000000000026,2.09888373,0.005824199216666665,0.9983073412727596
43968,4.17794,4.1897,4.1661,50.5257,0.50146,DISCH,28.04466,42.954,1.0,2.09506985,0.005963493661111111,0.9982668588049947
44966,4.17834,4.1888,4.1643,50.1087,0.5008,DISCH,28.03838,43.952,0.9979999999999976,2.0925131,0.006102326549999999,0.9982265104768789
45971,4.17938,4.1888,4.1645,49.9961,0.50064,DISCH,28.037080000000003,44.957,1.0050000000000026,2.092365124,0.006242088549999999,0.9981858921257141
46969,4.17928,4.1883,4.1697,49.6209,0.49912,DISCH,28.01212,45.955,0.9979999999999976,2.085964944,0.006380455705555554,0.9981456791514146
47980,4.17928,4.188,4.1657,50.0497,0.4989599999999999,DISCH,28.018780000000003,46.966,1.0110000000000028,2.085296032,0.006520580305555555,0.9981049554195731
48976,4.179,4.1867,4.167,49.7758,0.4973599999999999,DISCH,28.02792,47.962,0.9960000000000022,2.078470384,0.0066581832388888885,0.998064964547466
49969,4.17934,4.1903,4.1692,50.077,0.49898,DISCH,28.038760000000003,48.955,0.992999999999995,2.085409906,0.006795818555555554,0.9980249642639478
50984,4.17912,4.19,4.1645,49.1182,0.4973000000000001,DISCH,28.05336,49.97,1.0150000000000006,2.078278156,0.006936029527777776,0.9979842154301669
51985,4.17904,4.1887,4.166,50.5801,0.49972,DISCH,28.0641,50.971,1.0009999999999977,2.088347042,0.0070749794499999985,0.997943833089222
52977,4.17854,4.1911,4.1681,49.0377,0.499,DISCH,28.05934,51.963,0.9920000000000044,2.085088138,0.007212481672222221,0.9979038714862958
53970,4.178320000000001,4.1887,4.1656,50.7191,0.50154,DISCH,28.0556,52.956,0.993000000000002,2.0955908360000004,0.007350823122222221,0.9978636659826772
54968,4.17794,4.1905,4.1664,49.6559,0.50092,DISCH,28.06342,53.954,0.9979999999999976,2.092808706,0.007489689277777777,0.9978233079864316
55980,4.1782200000000005,4.1896,4.1685,50.4952,0.5027200000000001,DISCH,28.04394,54.966,1.0120000000000005,2.100472182,0.007631009455555555,0.9977822367896281
56989,4.17844,4.1866,4.1643,50.2766,0.5015,DISCH,28.04906,55.975,1.0090000000000003,2.095486604,0.007771568761111111,0.9977413867214225
57983,4.1776800000000005,4.1845,4.1667,50.0863,0.50212,DISCH,28.04456,56.969,0.9939999999999998,2.097696556,0.007910209672222222,0.9977010941868758
58979,4.177380000000001,4.1888,4.1666,50.3975,0.50182,DISCH,28.05276,57.965,0.9960000000000022,2.096292466,0.008049046538888889,0.9976607447027177
59985,4.17748,4.1906,4.1653,50.0388,0.50156,DISCH,28.03148,58.971,1.0059999999999931,2.0952565080000003,0.008189204694444445,0.9976200112187881
60997,4.1768600000000005,4.1887,4.1679,50.2929,0.50168,DISCH,28.0425,59.983,1.0120000000000005,2.0954474220000003,0.008330232516666666,0.9975790249878596
61990,4.177020000000001,4.1881,4.1673,50.1938,0.50114,DISCH,28.06068,60.976,0.993000000000002,2.093271114,0.008468463633333333,0.9975388515498816
62988,4.1777,4.1875,4.1661,49.9566,0.50052,DISCH,28.0582,61.974,0.9979999999999976,2.091021354,0.0086072189,0.9974985257807352
63985,4.17778,4.1888,4.168,50.0444,0.49982,DISCH,28.054720000000003,62.971,0.997,2.0881380980000004,0.008745641272222222,0.9974582967590842
64974,4.17774,4.1923,4.1662,49.839,0.5001,DISCH,28.05952,63.96,0.9890000000000044,2.08928777,0.008883029855555556,0.9974183681824763
65984,4.17826,4.1888,4.1659,49.8126,0.5006,DISCH,28.06436,64.97,1.009999999999998,2.0916386960000004,0.009023475966666668,0.9973775510114223
66990,4.17808,4.187,4.1672,50.1059,0.49978,DISCH,28.04896,65.976,1.0060000000000002,2.0881227440000005,0.009163136711111112,0.9973369620876678
67990,4.17806,4.1878,4.167,50.4615,0.5006999999999999,DISCH,28.06218,66.976,1.0,2.0919562760000003,0.009302220044444446,0.9972965409740996
68979,4.1787,4.1879,4.1654,49.419,0.50092,DISCH,28.068220000000004,67.965,0.9890000000000044,2.09319534,0.009439833900000002,0.9972565469277199
69977,4.178559999999999,4.1869,4.1648,50.1652,0.5001,DISCH,28.08006,68.963,0.9979999999999905,2.08969989,0.009578472733333334,0.9972162549970277
70978,4.17838,4.1878,4.1689,49.9504,0.49874,DISCH,28.08788,69.964,1.0010000000000048,2.08392495,0.009717150161111113,0.9971759518498194
71978,4.17732,4.1893,4.1619,50.0106,0.4988399999999999,DISCH,28.089640000000003,70.964,1.0,2.083817106,0.00985571682777778,0.997135680892575
72976,4.176740000000001,4.1895,4.1665,49.6426,0.49832,DISCH,28.0744,71.962,0.9980000000000048,2.081354934,0.00999386220555556,0.9970955323724737
73970,4.17564,4.1875,4.165,49.583,0.4992,DISCH,28.087580000000003,72.956,0.9939999999999998,2.084477702,0.010131696872222226,0.9970554741528336
