t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,soc_est,v_pred,v_resid,r_used_ohm,i_mean_60s,t_rem_min_dis
1014,4.1812000000000005,4.1918,4.1693,49.4444,0.4977,DISCH,27.982466666666667,0.0,0.0,2.0809776733333334,1.0,4.160672467109157,0.0205275328908438,0.06,0.4977,397.83001808318267
2029,4.181825,4.1896,4.1698,50.2161,0.4971,DISCH,27.97985,1.015,1.015,2.0787799075000004,0.9999575289141416,4.160708467109156,0.0211165328908435,0.06,0.49739999999999995,398.0530573482108
3019,4.18126,4.1923,4.1683,49.8111,0.49824,DISCH,27.98082,2.005,0.99,2.083264166,0.9999160089141416,4.160640067109156,0.0206199328908436,0.06,0.49767999999999996,397.8125899473558
4022,4.180960000000001,4.1915,4.1677,49.5456,0.4989,DISCH,27.9847,3.008,1.003,2.085876098,0.999873887979798,4.160600467109156,0.0203595328908443,0.06,0.497985,397.55219498579277
5015,4.1812,4.1942,4.1703,50.2694,0.49916,DISCH,27.97754,4.001,0.9930000000000004,2.087083656,0.9998321652626264,4.160584867109156,0.0206151328908434,0.06,0.49822,397.34809666813857
6018,4.18112,4.1906,4.1704,49.9454,0.4998999999999999,DISCH,27.98512,5.004,1.0029999999999992,2.090137434,0.9997899599006734,4.160540467109156,0.020579532890844,0.06,0.49849999999999994,397.1081485663658
7016,4.18042,4.1907,4.1687,50.2837,0.50048,DISCH,27.980560000000004,6.002,0.9980000000000002,2.09221524,0.9997479162104378,4.160505667109156,0.0199143328908437,0.06,0.49878285714285714,396.8662606882086
8016,4.1803,4.1912,4.1702,50.087,0.50014,DISCH,27.97498,7.002,1.0,2.0907342479999995,0.9997058168838384,4.160526067109156,0.0197739328908435,0.06,0.4989525,396.71462061619087
9026,4.18024,4.1905,4.1714,49.7683,0.50132,DISCH,27.994980000000005,8.012,1.010000000000001,2.095638504,0.9996631962441078,4.160455267109156,0.0197847328908444,0.06,0.4992155555555555,396.4886723853424
10027,4.1801,4.1916,4.1695,49.885,0.50132,DISCH,28.0103,9.013,1.0009999999999994,2.095567986,0.999620955392256,4.160455267109156,0.0196447328908444,0.06,0.499426,396.3048563103777
11017,4.18028,4.19,4.1723,50.2115,0.50096,DISCH,28.00602,10.003,0.9900000000000002,2.09415288,0.9995792087255893,4.160476867109156,0.0198031328908436,0.06,0.49956545454545453,396.1776810763415
12006,4.1803,4.1919,4.1676,50.4024,0.50118,DISCH,28.01702,10.992,0.9890000000000008,2.09508251,0.999537485912458,4.160463667109156,0.0198363328908435,0.06,0.4997,396.0544771075979
13002,4.1806,4.1896,4.1679,50.0255,0.5006,DISCH,28.0163,11.988,0.9959999999999988,2.092808498,0.9994955164175084,4.160498467109156,0.0201015328908438,0.06,0.49976923076923074,395.98298587943157
14000,4.180280000000001,4.1924,4.1675,49.9204,0.4998599999999999,DISCH,28.01742,12.986,0.9980000000000012,2.089554646,0.999453524811448,4.160542867109156,0.0197371328908442,0.06,0.49977571428571427,395.9612127121786
15003,4.18036,4.1936,4.1688,49.7169,0.49928,DISCH,28.021000000000004,13.989,1.003,2.08717031,0.9994113717946128,4.160577667109156,0.0197823328908439,0.06,0.4997426666666666,395.9706961489514
15988,4.17982,4.1894,4.1703,50.0698,0.49934,DISCH,28.00958,14.974,0.9849999999999994,2.08715141,0.9993699702878788,4.160574067109156,0.0192459328908443,0.06,0.4997175,395.974233676027
16986,4.179460000000001,4.19,4.1708,49.9777,0.49878,DISCH,28.02448,15.972,0.9979999999999992,2.0846317020000003,0.999328069409091,4.160607667109156,0.0188523328908445,0.06,0.4996623529411765,396.0013328566585
17984,4.17936,4.1907,4.171,50.1979,0.4983799999999999,DISCH,28.04784,16.97,0.9979999999999992,2.082910122,0.9992862021329968,4.160631667109156,0.018728332890844,0.06,0.4995911111111111,396.0412097450805
18977,4.17948,4.1913,4.1701,49.7914,0.4995199999999999,DISCH,28.0103,17.963,0.993000000000002,2.087735634,0.999244449324916,4.160563267109156,0.0189167328908439,0.06,0.4995873684210526,396.02762894434295
19978,4.1793,4.1912,4.1712,49.6777,0.49954,DISCH,28.00344,18.964,1.0009999999999977,2.08772908,0.9992023584545456,4.160562067109156,0.0187379328908434,0.06,0.499585,396.01282459241173
20970,4.1796,4.1907,4.1665,50.5393,0.4993599999999999,DISCH,28.0257,19.956,0.9920000000000008,2.087126524,0.9991606610538722,4.160572867109156,0.0190271328908435,0.06,0.4995742857142857,396.00479157129985
21968,4.17966,4.1914,4.1687,50.209,0.4983599999999999,DISCH,28.01558,20.954,0.9980000000000012,2.082977514,0.9991187954579126,4.160632867109157,0.0190271328908435,0.06,0.49951909090909086,396.0319537350167
22961,4.18022,4.1917,4.169,49.8311,0.49832,DISCH,27.998200000000004,21.947,0.9929999999999986,2.083088098,0.999077142952862,4.160635267109156,0.019584732890844,0.06,0.49946695652173906,396.0567795760814
23959,4.1802,4.1923,4.1681,49.1577,0.49752,DISCH,28.02402,22.945,0.9980000000000012,2.079733768,0.9990353479225592,4.160683267109156,0.0195167328908443,0.06,0.49938583333333336,396.10454619490946
24963,4.180339999999999,4.1927,4.1712,49.5846,0.49754,DISCH,28.01654,23.949,1.0040000000000011,2.079887498,0.9989932999292932,4.160682067109156,0.0196579328908432,0.06,0.499312,396.1464442793284
25966,4.18032,4.1877,4.1699,50.0014,0.49836,DISCH,27.9991,24.952,1.003,2.083305206,0.9989512245858588,4.160632867109157,0.0196871328908434,0.06,0.49927538461538457,396.1588104736404
26967,4.18098,4.1871,4.1693,49.9578,0.5010600000000001,DISCH,28.00288,25.953,1.0009999999999977,2.094921266,0.9989090056414144,4.160470867109156,0.0205091328908437,0.06,0.4993414814814815,396.08963094794484
27982,4.18064,4.1936,4.1674,50.2376,0.50214,DISCH,28.01062,26.968,1.0150000000000006,2.099267566,0.998866103949495,4.1604060671091565,0.0202339328908438,0.06,0.49944142857142854,395.99335831571847
28972,4.1798,4.1938,4.1665,50.4208,0.5013799999999999,DISCH,28.00668,27.958,0.9899999999999984,2.09567331,0.9988243222828284,4.1604516671091565,0.0193483328908437,0.06,0.499508275862069,395.92380220465094
29982,4.17962,4.1895,4.1693,50.1068,0.50088,DISCH,28.01226,28.968,1.0100000000000016,2.09349348,0.9987817390505052,4.160481667109156,0.0191383328908436,0.06,0.49955399999999994,395.87068531530133
30981,4.179119999999999,4.1893,4.167,49.7855,0.50062,DISCH,28.02368,29.967,0.9989999999999988,2.092155904,0.998739641459596,4.1604972671091565,0.0186227328908428,0.06,0.49958838709677417,395.82675281580197
31984,4.178179999999999,4.1931,4.1674,49.7306,0.50034,DISCH,28.03936,30.97,1.003,2.090511532,0.998697398949495,4.1605140671091565,0.0176659328908428,0.06,0.499611875,395.7914030606258
32977,4.17744,4.1865,4.166,50.1527,0.49982,DISCH,28.03292,31.963,0.993000000000002,2.08796856,0.9986556210656566,4.160545267109156,0.0168947328908437,0.06,0.49961818181818185,395.7698501912369
33977,4.177919999999999,4.1917,4.1683,50.3748,0.50082,DISCH,28.02508,32.963,1.0,2.092385476,0.9986134645,4.160485267109157,0.0174347328908428,0.06,0.49965352941176466,395.72514619036014
34968,4.177499999999999,4.1919,4.1667,49.9786,0.4996,DISCH,28.0182,33.954,0.9909999999999995,2.087079922,0.9985717891127948,4.160558467109157,0.0169415328908426,0.06,0.499652,395.70984253907386
35980,4.17772,4.1892,4.1686,50.1922,0.49996,DISCH,28.00514,34.966,1.0120000000000005,2.088694584,0.9985291999276096,4.1605368671091565,0.0171831328908433,0.06,0.49966055555555555,395.6861901292989
36981,4.17794,4.1897,4.1685,49.2126,0.5001599999999999,DISCH,27.9858,35.967,1.0009999999999977,2.0896410760000004,0.9984870568164984,4.160524867109157,0.0174151328908438,0.06,0.499674054054054,395.65880126383297
37976,4.17872,4.19,4.1699,50.3713,0.49822,DISCH,27.9769,36.962,0.9950000000000044,2.0819195820000003,0.998445328794613,4.160641267109156,0.018078732890844,0.06,0.49963578947368414,395.6725664300032
38967,4.178459999999999,4.1907,4.1666,50.5092,0.49878,DISCH,27.9979,37.953,0.9909999999999995,2.084128372,0.9984037218097646,4.160607667109156,0.0178523328908433,0.06,0.49961384615384613,395.67345548998367
39966,4.178120000000001,4.1909,4.1667,49.0358,0.5005,DISCH,28.007420000000003,38.952,0.9989999999999952,2.091142816,0.9983616343097644,4.160504467109156,0.0176155328908445,0.06,0.499636,395.6392325479616
40967,4.17748,4.1909,4.1685,50.4226,0.5000199999999999,DISCH,28.02072,39.953,1.0010000000000048,2.088816464,0.9983195029949498,4.160533267109156,0.0169467328908439,0.06,0.49964536585365854,395.6151204470391
41963,4.17738,4.187,4.1708,50.3588,0.4998599999999999,DISCH,28.03382,40.949,0.9959999999999952,2.088097524,0.9982775955404044,4.160542867109156,0.0168371328908438,0.06,0.49965047619047614,395.59446720440786
42968,4.17738,4.1889,4.1677,49.9981,0.50244,DISCH,28.060360000000003,41.954,1.0050000000000026,2.09888373,0.9982350911464648,4.160388067109157,0.0169919328908436,0.06,0.49971534883720925,395.52627011940757
43968,4.17794,4.1897,4.1661,50.5257,0.50146,DISCH,28.04466,42.954,1.0,2.09506985,0.9981928807087544,4.160446867109156,0.017493132890844,0.06,0.499755,395.4781650615469
44966,4.17834,4.1888,4.1643,50.1087,0.5008,DISCH,28.03838,43.952,0.9979999999999976,2.0925131,0.998150810136364,4.160486467109156,0.017853532890844,0.06,0.4997782222222222,395.44312180758413
45971,4.17938,4.1888,4.1645,49.9961,0.50064,DISCH,28.037080000000003,44.957,1.0050000000000026,2.092365124,0.9981084580151516,4.160496067109157,0.0188839328908434,0.06,0.4997969565217391,395.41152083506955
46969,4.17928,4.1883,4.1697,49.6209,0.49912,DISCH,28.01212,45.955,0.9979999999999976,2.085964944,0.9980665285740744,4.160587267109157,0.0186927328908437,0.06,0.49978255319148934,395.40630499350516
47980,4.17928,4.188,4.1657,50.0497,0.4989599999999999,DISCH,28.018780000000003,46.966,1.0110000000000028,2.085296032,0.9980240665740744,4.160596867109156,0.0186831328908443,0.06,0.4997654166666667,395.40304028973605
48976,4.179,4.1867,4.167,49.7758,0.4973599999999999,DISCH,28.02792,47.962,0.9960000000000022,2.078470384,0.9979823687154884,4.160692867109156,0.0183071328908441,0.06,0.49971632653061226,395.4253613796263
49969,4.17934,4.1903,4.1692,50.077,0.49898,DISCH,28.038760000000003,48.955,0.992999999999995,2.085409906,0.9979406610437712,4.160595667109156,0.0187443328908436,0.06,0.4997016,395.4204887210021
50984,4.17912,4.19,4.1645,49.1182,0.4973000000000001,DISCH,28.05336,49.97,1.0150000000000006,2.078278156,0.9978981728703704,4.160696467109156,0.0184235328908437,0.06,0.49965450980392156,395.440918377522
51985,4.17904,4.1887,4.166,50.5801,0.49972,DISCH,28.0641,50.971,1.0009999999999977,2.088347042,0.9978560668333336,4.160551267109156,0.0184887328908436,0.06,0.4996557692307692,395.42323615550714
52977,4.17854,4.1911,4.1681,49.0377,0.499,DISCH,28.05934,51.963,0.9920000000000044,2.085088138,0.997814399493266,4.160594467109156,0.0179455328908435,0.06,0.49964339622641507,395.41651624299345
53970,4.178320000000001,4.1887,4.1656,50.7191,0.50154,DISCH,28.0556,52.956,0.993000000000002,2.0955908360000004,0.9977724778417508,4.160442067109156,0.0178779328908449,0.06,0.4996785185185185,395.37211084919784
54968,4.17794,4.1905,4.1664,49.6559,0.50092,DISCH,28.06342,53.954,0.9979999999999976,2.092808706,0.9977303971885524,4.160479267109157,0.0174607328908438,0.06,0.49970109090909093,395.33757727831966
