t_ms,Vbat_mean,Vbus_INA,Vbat_ADS,Vsh_mV,I_A,mode,T_C
0,3.2013,3.356,3.1982,49.1257,0.4912,CHG,27.9055
2671,3.2065,3.3513,3.2085,49.1997,0.4919,CHG,28.1142
5342,3.2083,3.3557,3.2165,49.1681,0.4916,CHG,27.9019
8013,3.2011,3.348,3.2072,49.0609,0.4906,CHG,27.9496
10684,3.2002,3.3452,3.1952,49.1348,0.4913,CHG,28.092
13355,3.2006,3.3494,3.2038,49.0251,0.49,CHG,27.7996
16026,3.1951,3.341,3.1853,49.1553,0.4915,CHG,27.886
18697,3.2027,3.3569,3.2057,49.0529,0.4905,CHG,27.9385
21369,3.2072,3.356,3.1971,48.9857,0.4898,CHG,28.1549
24040,3.2016,3.3441,3.1996,49.0164,0.4901,CHG,27.9083
26711,3.2113,3.3578,3.216,49.035,0.4903,CHG,27.9519
29383,3.2028,3.3477,3.1957,49.0397,0.4903,CHG,27.9907
32054,3.2023,3.3591,3.2091,49.1984,0.4919,CHG,28.0068
34725,3.2002,3.353,3.2064,49.0432,0.4904,CHG,28.0258
37396,3.2018,3.3569,3.2033,49.0789,0.4907,CHG,28.0721
40067,3.207,3.3557,3.2067,49.065,0.4906,CHG,28.137
42738,3.2011,3.3499,3.2055,49.0633,0.4906,CHG,27.997
45409,3.1979,3.3452,3.1957,49.0199,0.4901,CHG,28.1108
48080,3.1992,3.3482,3.1991,48.9931,0.4899,CHG,27.9893
50751,3.1982,3.3464,3.2057,49.0222,0.4902,CHG,28.0867
53422,3.2038,3.3523,3.2038,49.0339,0.4903,CHG,27.8389
56093,3.2082,3.3574,3.2161,49.0197,0.4901,CHG,28.0698
58765,3.2019,3.3603,3.205,49.235,0.4923,CHG,27.8918
61436,3.2069,3.3507,3.2087,49.3029,0.493,CHG,28.1697
64107,3.1965,3.346,3.1944,49.2442,0.4924,CHG,28.0776
66778,3.2037,3.3569,3.2002,49.2477,0.4924,CHG,28.0013
69449,3.2124,3.3732,3.2136,49.2657,0.4926,CHG,28.1054
72120,3.2043,3.3545,3.2011,49.2427,0.4924,CHG,28.0177
74791,3.2089,3.3577,3.2035,49.1513,0.4915,CHG,27.8832
77462,3.2103,3.3608,3.2084,49.3405,0.4934,CHG,28.0373
80134,3.2084,3.3571,3.2036,49.235,0.4923,CHG,27.9379
82805,3.2044,3.3481,3.209,49.151,0.4915,CHG,28.0449
85476,3.2074,3.3529,3.208,49.2148,0.4921,CHG,28.0877
88147,3.2043,3.3591,3.2043,49.1701,0.4917,CHG,28.1372
90818,3.2006,3.3542,3.2023,49.1664,0.4916,CHG,27.859
93489,3.2003,3.35,3.199,49.3159,0.4931,CHG,27.904
96161,3.2123,3.3579,3.2102,49.2592,0.4925,CHG,27.9355
98832,3.2045,3.3478,3.2102,49.3961,0.4939,CHG,27.8332
101503,3.2094,3.3615,3.2095,49.2724,0.4927,CHG,27.8808
104174,3.2068,3.3569,3.2112,49.2548,0.4925,CHG,27.9595
106845,3.2031,3.3545,3.2029,49.2818,0.4928,CHG,27.9959
109516,3.2097,3.3585,3.2101,49.1936,0.4919,CHG,28.2279
112187,3.2031,3.3488,3.2086,49.1866,0.4918,CHG,27.8979
114858,3.2061,3.357,3.1991,49.3208,0.4932,CHG,28.0389
117529,3.2095,3.3504,3.2072,49.2512,0.4925,CHG,28.0255
120200,3.2129,3.3614,3.2123,49.3203,0.4932,CHG,27.9243
122871,3.2033,3.348,3.1988,49.2725,0.4927,CHG,27.9415
125542,3.2132,3.3524,3.2065,49.2314,0.4923,CHG,28.0366
128213,3.2112,3.3522,3.2052,49.2216,0.4922,CHG,27.7701
130885,3.2046,3.3578,3.2093,49.2207,0.4922,CHG,28.1484
133556,3.2106,3.3548,3.2209,49.2555,0.4925,CHG,27.9548
136227,3.2069,3.3554,3.2045,49.2387,0.4923,CHG,28.1098
138899,3.205,3.3551,3.2122,49.1463,0.4914,CHG,28.1557
141570,3.2133,3.3573,3.2131,49.2704,0.4927,CHG,27.9552
144241,3.2035,3.3638,3.2015,49.2327,0.4923,CHG,28.0557
146912,3.2111,3.3673,3.2126,49.2152,0.4921,CHG,28.0152
149583,3.2166,3.3613,3.2161,49.3198,0.4931,CHG,28.2436
152254,3.2147,3.3652,3.2202,49.2316,0.4923,CHG,28.0449
154925,3.2119,3.3692,3.2086,49.1258,0.4912,CHG,28.1002
157596,3.2121,3.3671,3.2118,49.2439,0.4924,CHG,28.0963
160267,3.2082,3.361,3.2078,49.2241,0.4922,CHG,28.1931
162938,3.2138,3.3599,3.2099,49.1541,0.4915,CHG,27.9014
165609,3.2175,3.3775,3.2163,49.317,0.4931,CHG,28.0981
168280,3.2054,3.353,3.2128,49.2273,0.4922,CHG,28.0927
170951,3.2119,3.3657,3.2083,49.2907,0.4929,CHG,28.0259
173623,3.2209,3.3703,3.2211,49.1847,0.4918,CHG,27.8178
176294,3.2117,3.365,3.2081,49.3047,0.493,CHG,28.154
178965,3.2072,3.3555,3.2067,49.2639,0.4926,CHG,27.954
181636,3.2113,3.3567,3.2146,49.3081,0.493,CHG,28.0125
184307,3.2134,3.3566,3.2162,49.2746,0.4927,CHG,28.181
186978,3.2159,3.3721,3.2084,49.4149,0.4941,CHG,27.9169
189650,3.2145,3.3593,3.2188,49.4278,0.4942,CHG,27.8738
192321,3.2181,3.3759,3.2165,49.3223,0.4932,CHG,27.9344
194992,3.2162,3.3545,3.2114,49.379,0.4937,CHG,28.1997
197663,3.2097,3.3651,3.2128,49.208,0.492,CHG,28.3209
200334,3.2161,3.3779,3.21,49.172,0.4917,CHG,28.0046
203005,3.2167,3.3642,3.2171,49.2714,0.4927,CHG,28.0536
205676,3.2227,3.3688,3.229,49.2652,0.4926,CHG,28.092
208347,3.2205,3.3699,3.2225,49.2643,0.4926,CHG,28.0442
211019,3.2138,3.3612,3.2121,49.2537,0.4925,CHG,28.1104
213690,3.2246,3.3685,3.226,49.3425,0.4934,CHG,27.9334
216361,3.2129,3.3706,3.2121,49.1886,0.4918,CHG,28.021
219032,3.2204,3.365,3.2119,49.281,0.4928,CHG,28.0112
221703,3.2259,3.3688,3.2242,49.2846,0.4928,CHG,28.1071
224374,3.2211,3.37,3.2251,49.3531,0.4935,CHG,28.1982
227045,3.2212,3.3835,3.2167,49.2765,0.4927,CHG,28.0846
229716,3.2144,3.3604,3.2192,49.2935,0.4929,CHG,28.1284
232387,3.2235,3.37,3.2219,49.388,0.4938,CHG,28.1151
235058,3.2228,3.3731,3.2223,49.3263,0.4932,CHG,28.216
237729,3.2131,3.3597,3.2157,49.3679,0.4936,CHG,27.9233
240401,3.2223,3.3664,3.2241,49.2993,0.4929,CHG,28.3147
243072,3.2243,3.3722,3.2231,49.3108,0.4931,CHG,28.283
245743,3.2245,3.37,3.224,49.2465,0.4924,CHG,27.8988
248414,3.2147,3.365,3.2183,49.2751,0.4927,CHG,28.0622
251086,3.2226,3.3656,3.219,49.4061,0.494,CHG,28.0278
253757,3.2146,3.3633,3.2146,49.2566,0.4925,CHG,28.0742
256428,3.2258,3.3751,3.2197,49.365,0.4936,CHG,28.0834
259099,3.2144,3.363,3.2147,49.3732,0.4937,CHG,27.983
261770,3.2194,3.3739,3.2171,49.4286,0.4942,CHG,28.11
264441,3.229,3.3817,3.232,49.3225,0.4932,CHG,28.0452
267112,3.2204,3.3721,3.2181,49.3002,0.493,CHG,28.0041
269783,3.231,3.3824,3.2303,49.4818,0.4948,CHG,28.1337
272454,3.2206,3.3607,3.2248,49.4291,0.4942,CHG,28.1873
275125,3.2164,3.3658,3.2118,49.4439,0.4944,CHG,28.1584
277796,3.2193,3.3689,3.2236,49.5015,0.495,CHG,28.0386
280467,3.2156,3.3714,3.2114,49.4232,0.4942,CHG,28.0538
283138,3.2213,3.3732,3.2178,49.3213,0.4932,CHG,28.0909
285809,3.2138,3.36,3.2197,49.4256,0.4942,CHG,28.0512
288481,3.2247,3.3831,3.2195,49.53,0.4953,CHG,27.9262
291152,3.2184,3.3676,3.2136,49.4621,0.4946,CHG,28.0892
293823,3.2228,3.3722,3.2258,49.4753,0.4947,CHG,27.9417
296495,3.2207,3.3717,3.2191,49.4596,0.4945,CHG,28.2278
299166,3.2264,3.3811,3.2322,49.5692,0.4956,CHG,27.9329
301837,3.2257,3.3797,3.2272,49.5203,0.4952,CHG,27.984
304508,3.2323,3.3841,3.2328,49.354,0.4935,CHG,28.199
307179,3.2241,3.3767,3.2251,49.5581,0.4955,CHG,28.042
309850,3.2296,3.3727,3.225,49.3865,0.4938,CHG,27.9175
312521,3.2243,3.372,3.2264,49.5427,0.4954,CHG,28.0576
315192,3.2251,3.3738,3.228,49.351,0.4935,CHG,28.1022
317863,3.2149,3.3645,3.207,49.5102,0.4951,CHG,28.2245
320534,3.2318,3.3772,3.2334,49.4126,0.4941,CHG,28.0629
323205,3.2265,3.3741,3.2304,49.3891,0.4938,CHG,28.0173
325877,3.2315,3.3863,3.2302,49.4492,0.4944,CHG,27.9947
328548,3.2284,3.3721,3.2274,49.3286,0.4932,CHG,27.9069
331219,3.2347,3.388,3.2353,49.3812,0.4938,CHG,28.0786
333890,3.2312,3.384,3.2299,49.411,0.4941,CHG,28.0421
336561,3.2219,3.3689,3.2199,49.4883,0.4948,CHG,28.1077
339232,3.227,3.3692,3.2287,49.5056,0.495,CHG,28.1256
341903,3.2244,3.375,3.2239,49.5411,0.4954,CHG,27.9843
344574,3.2308,3.3795,3.226,49.4197,0.4941,CHG,27.9866
347246,3.2239,3.3703,3.2273,49.4289,0.4942,CHG,28.036
349917,3.2311,3.3768,3.2347,49.3766,0.4937,CHG,28.2549
352588,3.2325,3.3833,3.232,49.3428,0.4934,CHG,27.9971
355259,3.2251,3.3753,3.2231,49.328,0.4932,CHG,28.0686
357930,3.2248,3.3708,3.2209,49.3785,0.4937,CHG,27.9713
360601,3.2292,3.3791,3.228,49.4282,0.4942,CHG,28.1302
363272,3.2289,3.3785,3.2264,49.4415,0.4944,CHG,28.1093
365944,3.2301,3.3839,3.2297,49.4674,0.4946,CHG,28.2053
368615,3.2225,3.3702,3.2209,49.3803,0.4938,CHG,28.0626
371286,3.2182,3.366,3.2147,49.5644,0.4956,CHG,28.2143
373957,3.2324,3.383,3.2396,49.5389,0.4953,CHG,28.1019
376628,3.2311,3.3813,3.242,49.5652,0.4956,CHG,28.0942
379299,3.2276,3.3692,3.2275,49.5271,0.4952,CHG,28.1049
381970,3.2264,3.3783,3.2308,49.4581,0.4945,CHG,27.9949
384641,3.227,3.3772,3.2274,49.4641,0.4946,CHG,28.2088
387312,3.2352,3.3871,3.2336,49.2408,0.4924,CHG,28.1839
389983,3.2311,3.3888,3.2327,49.4346,0.4943,CHG,28.0735
392654,3.2323,3.3772,3.2299,49.4447,0.4944,CHG,28.1044
395325,3.2262,3.3717,3.2187,49.5116,0.4951,CHG,28.1306
397997,3.235,3.3788,3.2401,49.3203,0.4932,CHG,27.967
400668,3.2275,3.3791,3.2219,49.4659,0.4946,CHG,28.2238
403339,3.231,3.3813,3.2274,49.4597,0.4945,CHG,28.1129
406011,3.2324,3.3814,3.2302,49.4127,0.4941,CHG,27.9687
408682,3.2292,3.3916,3.2269,49.4248,0.4942,CHG,28.261
411353,3.2278,3.3813,3.2307,49.4157,0.4941,CHG,28.1387
414024,3.2362,3.3898,3.2427,49.54,0.4954,CHG,28.0728
416695,3.2339,3.3842,3.232,49.5571,0.4955,CHG,28.0149
419366,3.2304,3.3746,3.2294,49.4094,0.494,CHG,28.0165
422037,3.2389,3.3798,3.2475,49.4467,0.4944,CHG,28.0804
424708,3.2342,3.3802,3.2332,49.4968,0.4949,CHG,28.0097
427379,3.2405,3.3817,3.2505,49.4492,0.4944,CHG,28.182
430050,3.2325,3.3877,3.233,49.3059,0.493,CHG,28.1659
432721,3.2307,3.3793,3.2299,49.3433,0.4934,CHG,28.2063
435392,3.2358,3.3921,3.2408,49.2837,0.4928,CHG,28.2276
438063,3.2287,3.3779,3.235,49.4421,0.4944,CHG,28.2322
440735,3.2282,3.3803,3.2342,49.5839,0.4958,CHG,28.1836
443406,3.2402,3.3926,3.2378,49.4648,0.4946,CHG,28.0438
446077,3.2368,3.379,3.2343,49.3564,0.4935,CHG,28.263
448748,3.231,3.3971,3.2291,49.5478,0.4954,CHG,28.2236
451419,3.2322,3.3824,3.2367,49.522,0.4952,CHG,28.2191
454090,3.225,3.3762,3.2256,49.5525,0.4955,CHG,28.3801
456762,3.2396,3.3961,3.2444,49.5321,0.4953,CHG,28.3158
459433,3.2385,3.3922,3.2408,49.5618,0.4956,CHG,28.2159
462104,3.2368,3.382,3.233,49.545,0.4954,CHG,28.2074
464775,3.233,3.3865,3.2326,49.5946,0.4959,CHG,27.9938
467446,3.2449,3.4003,3.2438,49.6235,0.4962,CHG,28.0699
470117,3.2324,3.3766,3.231,49.5248,0.4952,CHG,28.1316
472788,3.2383,3.383,3.2333,49.5274,0.4952,CHG,28.1914
475459,3.2421,3.3919,3.2421,49.5513,0.4955,CHG,28.0157
478131,3.2374,3.3946,3.2423,49.5235,0.4952,CHG,28.1005
480802,3.2296,3.3822,3.2299,49.4986,0.4949,CHG,28.0063
483473,3.2402,3.3885,3.2401,49.5899,0.4958,CHG,28.3174
486144,3.2357,3.3841,3.2335,49.4298,0.4942,CHG,28.4555
488815,3.2308,3.375,3.2265,49.5728,0.4957,CHG,28.153
491486,3.2419,3.3901,3.2498,49.5432,0.4954,CHG,28.1724
494157,3.2444,3.4034,3.2493,49.4114,0.4941,CHG,28.096
496828,3.2341,3.3886,3.2385,49.5497,0.4954,CHG,28.0445
499499,3.2469,3.3968,3.2533,49.5684,0.4956,CHG,28.336
502170,3.2381,3.383,3.2369,49.5812,0.4958,CHG,28.121
504841,3.2371,3.3868,3.2368,49.5758,0.4957,CHG,28.2246
507513,3.2394,3.3865,3.2403,49.5643,0.4956,CHG,28.1056
510184,3.2337,3.3792,3.2306,49.5128,0.4951,CHG,28.0735
512855,3.2453,3.3941,3.2478,49.554,0.4955,CHG,28.2084
515526,3.2366,3.386,3.2316,49.3964,0.4939,CHG,27.9999
518198,3.2387,3.3946,3.2407,49.3496,0.4934,CHG,28.3871
520869,3.2423,3.3976,3.2319,49.402,0.494,CHG,28.2096
523540,3.2389,3.3889,3.2384,49.4159,0.4941,CHG,28.0818
526211,3.233,3.375,3.2321,49.443,0.4944,CHG,28.1603
528882,3.2428,3.3921,3.2348,49.3927,0.4939,CHG,28.2305
531553,3.2389,3.3914,3.2303,49.3957,0.4939,CHG,28.041
534224,3.2364,3.3871,3.238,49.4075,0.494,CHG,28.0857
536895,3.2421,3.3954,3.2367,49.4174,0.4941,CHG,28.2388
539566,3.2464,3.3973,3.2438,49.4336,0.4943,CHG,28.0812
542237,3.2438,3.3904,3.2429,49.3676,0.4936,CHG,27.991
544908,3.2475,3.3919,3.2464,49.3676,0.4936,CHG,28.1138
547579,3.2422,3.3856,3.246,49.3768,0.4937,CHG,28.1713
550250,3.2483,3.391,3.2459,49.3807,0.4938,CHG,28.1766
552921,3.239,3.4008,3.2404,49.4317,0.4943,CHG,28.3127
555593,3.2437,3.3968,3.2492,49.3727,0.4937,CHG,28.1679
558264,3.2428,3.3942,3.2411,49.3562,0.4935,CHG,28.205
560935,3.2335,3.3811,3.2327,49.4057,0.494,CHG,28.1481
563607,3.2573,3.414,3.2549,49.5468,0.4954,CHG,27.9398
566278,3.2464,3.3955,3.2529,49.3069,0.493,CHG,28.21
568949,3.2542,3.399,3.2563,49.3146,0.4931,CHG,28.0039
571620,3.2428,3.3936,3.2411,49.3895,0.4938,CHG,28.0258
574291,3.2498,3.4011,3.2498,49.5162,0.4951,CHG,28.0582
576962,3.2433,3.4015,3.2431,49.4019,0.494,CHG,28.1964
579633,3.2494,3.3942,3.2545,49.4544,0.4945,CHG,28.1185
582304,3.2485,3.3952,3.2422,49.2582,0.4925,CHG,28.09
584975,3.2372,3.4026,3.2327,48.8222,0.4882,CHG,28.102
587646,3.2434,3.3888,3.2428,48.7632,0.4876,CHG,28.0807
590317,3.2411,3.3936,3.2381,48.9132,0.4891,CHG,28.0667
592989,3.2528,3.4089,3.2562,48.7803,0.4878,CHG,28.2157
595660,3.2496,3.4038,3.255,48.8749,0.4887,CHG,28.1794
598331,3.2402,3.3862,3.2396,48.904,0.489,CHG,28.1697
601002,3.2528,3.402,3.2545,48.7662,0.4876,CHG,28.188
603673,3.2435,3.3896,3.243,48.8528,0.4885,CHG,28.3111
606344,3.2446,3.3922,3.2456,48.8909,0.4889,CHG,28.1064
609015,3.2394,3.3881,3.2419,48.9288,0.4892,CHG,28.0041
611686,3.2359,3.3853,3.239,48.9377,0.4893,CHG,28.2738
614358,3.2576,3.4122,3.2615,48.966,0.4896,CHG,28.0764
617029,3.2486,3.397,3.2456,49.0386,0.4903,CHG,28.0882
619700,3.2487,3.4029,3.2419,48.9497,0.4894,CHG,28.2985
622371,3.2389,3.3903,3.2396,49.0779,0.4907,CHG,28.2039
625042,3.2513,3.4074,3.2492,48.9942,0.4899,CHG,28.1342
627713,3.2513,3.4031,3.2544,48.9906,0.4899,CHG,28.2754
630384,3.2495,3.3895,3.254,49.0564,0.4905,CHG,28.172
633056,3.252,3.4001,3.2465,48.9322,0.4893,CHG,28.1226
635727,3.2634,3.4043,3.2707,48.9231,0.4892,CHG,28.2077
638398,3.2553,3.3947,3.2524,48.8891,0.4888,CHG,28.2785
641069,3.2427,3.39,3.2395,49.0843,0.4908,CHG,28.0293
643740,3.2456,3.3942,3.2394,48.8912,0.4889,CHG,28.1432
646411,3.2519,3.397,3.2474,48.8905,0.4889,CHG,28.2132
649082,3.2564,3.4051,3.2562,48.7916,0.4879,CHG,28.2039
651753,3.2569,3.4025,3.2591,48.9308,0.4893,CHG,28.1476
654424,3.2514,3.4022,3.2479,48.8381,0.4883,CHG,28.2549
657095,3.2466,3.3984,3.2478,48.9959,0.4899,CHG,28.2373
659766,3.2523,3.3992,3.2472,48.8919,0.4889,CHG,28.0743
662437,3.2515,3.4071,3.2443,48.8698,0.4886,CHG,28.1781
665109,3.2529,3.4024,3.2502,48.953,0.4895,CHG,28.1874
