t_ms,Vbat_mean,Vbus_INA,Vbat_ADS,Vsh_mV,I_A,mode,T_C
0,4.2004,4.2127,4.1882,50.759,0.5088,DISCH,27.77
1013,4.1981,4.209,4.1884,50.555,0.5071,DISCH,27.81
2015,4.1993,4.2117,4.1877,50.6,0.5091,DISCH,27.8
3053,4.1998,4.2099,4.1884,50.883,0.5104,DISCH,27.76
4037,4.2,4.2095,4.1888,51.054,0.5093,DISCH,27.77
5030,4.2018,4.2114,4.1904,51.341,0.5086,DISCH,27.78
6100,4.1987,4.2105,4.1888,50.705,0.5078,DISCH,27.78
7108,4.1989,4.2088,4.1897,50.637,0.5081,DISCH,27.8
8100,4.1993,4.2101,4.189,51.012,0.5099,DISCH,27.79
9132,4.1983,4.2096,4.1877,50.863,0.5079,DISCH,27.8
10148,4.1982,4.2094,4.1872,50.717,0.5095,DISCH,27.76
11170,4.1983,4.2101,4.1878,50.717,0.5081,DISCH,27.77
12168,4.1988,4.2112,4.1885,50.979,0.508,DISCH,27.79
13111,4.2004,4.2123,4.19,51.074,0.5088,DISCH,27.77
14140,4.2005,4.2115,4.1888,50.948,0.5091,DISCH,27.76
15107,4.2013,4.2128,4.1912,50.935,0.5092,DISCH,27.8
16121,4.1996,4.2105,4.1887,51.174,0.5073,DISCH,27.8
17112,4.2002,4.2124,4.1882,51.397,0.5124,DISCH,27.81
18112,4.2008,4.2118,4.1884,50.953,0.5089,DISCH,27.8
19078,4.2007,4.2104,4.1874,50.902,0.5079,DISCH,27.76
20061,4.1999,4.2107,4.1862,50.993,0.5078,DISCH,27.79
21107,4.1978,4.2085,4.1863,51.011,0.5101,DISCH,27.74
22045,4.1988,4.2116,4.1866,50.809,0.5093,DISCH,27.78
23053,4.1988,4.2104,4.1868,50.776,0.5081,DISCH,27.77
24045,4.2015,4.2135,4.1889,50.824,0.5079,DISCH,27.75
25078,4.1986,4.2087,4.188,50.676,0.508,DISCH,27.8
26113,4.1993,4.2116,4.1889,51.004,0.5098,DISCH,27.78
27110,4.199,4.2097,4.1901,50.645,0.5085,DISCH,27.77
28085,4.1999,4.2112,4.1893,50.721,0.5091,DISCH,27.73
29102,4.1993,4.2109,4.1884,50.53,0.5088,DISCH,27.8
30127,4.2006,4.2107,4.1896,50.983,0.5078,DISCH,27.8
31149,4.1982,4.208,4.187,50.869,0.5099,DISCH,27.78
32103,4.1979,4.2088,4.1882,51.142,0.5108,DISCH,27.8
33114,4.1994,4.2108,4.1884,50.954,0.5091,DISCH,27.77
34141,4.1994,4.2102,4.1881,50.461,0.507,DISCH,27.8
35149,4.1984,4.2097,4.1883,50.994,0.5079,DISCH,27.8
36173,4.1999,4.2134,4.1898,51.061,0.509,DISCH,27.79
37187,4.1999,4.2135,4.1902,50.879,0.5094,DISCH,27.81
38203,4.199,4.2126,4.1879,51.003,0.5087,DISCH,27.76
39199,4.1979,4.2083,4.1857,50.829,0.5071,DISCH,27.77
40166,4.2,4.2119,4.1876,50.959,0.5098,DISCH,27.81
41153,4.1987,4.2097,4.1851,50.471,0.5089,DISCH,27.81
42134,4.1985,4.2096,4.1875,51.139,0.5096,DISCH,27.77
43091,4.1973,4.2069,4.1853,50.561,0.5075,DISCH,27.78
44098,4.1993,4.2084,4.1875,50.987,0.509,DISCH,27.79
45133,4.1992,4.2105,4.1893,51.146,0.5118,DISCH,27.78
46103,4.1989,4.2106,4.187,50.853,0.509,DISCH,27.8
47081,4.1987,4.2104,4.185,51.215,0.5103,DISCH,27.74
48104,4.1994,4.2099,4.1869,51.017,0.5094,DISCH,27.79
49079,4.1987,4.2091,4.1873,50.53,0.5078,DISCH,27.8
50111,4.1989,4.2108,4.1875,51.01,0.507,DISCH,27.78
51144,4.1975,4.2095,4.1864,51.081,0.5084,DISCH,27.78
52125,4.1981,4.2089,4.189,51.348,0.5096,DISCH,27.8
53139,4.1995,4.2124,4.1888,50.819,0.5092,DISCH,27.78
54138,4.1972,4.2095,4.1855,51.329,0.5087,DISCH,27.77
55150,4.1977,4.2089,4.1855,50.992,0.5085,DISCH,27.77
56133,4.1989,4.2095,4.1873,50.966,0.5107,DISCH,27.78
57116,4.197,4.2084,4.1855,50.747,0.5098,DISCH,27.78
58068,4.199,4.2108,4.1878,50.736,0.5089,DISCH,27.78
59096,4.1991,4.2104,4.1886,50.977,0.5086,DISCH,27.73
60089,4.1993,4.2105,4.1885,51.059,0.5099,DISCH,27.76
61066,4.1989,4.2109,4.1884,50.964,0.5087,DISCH,27.77
62141,4.1984,4.2099,4.187,50.796,0.5091,DISCH,27.73
63128,4.1984,4.2089,4.1862,51.133,0.5093,DISCH,27.75
64128,4.1996,4.2108,4.191,50.966,0.5104,DISCH,27.78
65130,4.197,4.2087,4.1848,50.691,0.5082,DISCH,27.75
66174,4.1993,4.2108,4.1889,50.838,0.5075,DISCH,27.77
67164,4.198,4.2082,4.1854,50.513,0.5096,DISCH,27.77
68165,4.1973,4.207,4.1877,50.821,0.5089,DISCH,27.79
69142,4.1976,4.2091,4.1878,50.682,0.509,DISCH,27.78
70105,4.2002,4.2133,4.1889,50.744,0.5084,DISCH,27.76
71098,4.1977,4.2101,4.1877,50.889,0.5096,DISCH,27.78
72093,4.1962,4.2082,4.185,50.524,0.5081,DISCH,27.77
73125,4.1966,4.2081,4.186,51.0,0.5095,DISCH,27.79
74087,4.1987,4.2084,4.1884,50.759,0.509,DISCH,27.77
75092,4.1958,4.2072,4.1862,51.223,0.5115,DISCH,27.75
76093,4.1988,4.2096,4.1862,51.006,0.5101,DISCH,27.76
77106,4.1968,4.2087,4.186,50.571,0.5087,DISCH,27.75
78141,4.1966,4.2072,4.1863,51.009,0.51,DISCH,27.78
79090,4.1978,4.2099,4.1862,50.873,0.5091,DISCH,27.77
80084,4.1987,4.2088,4.1868,50.688,0.5103,DISCH,27.76
81016,4.1971,4.2084,4.185,50.924,0.5086,DISCH,27.79
82021,4.1975,4.2092,4.1858,50.742,0.5081,DISCH,27.76
83010,4.1987,4.2109,4.1865,50.953,0.5084,DISCH,27.78
83993,4.1979,4.2086,4.1846,51.011,0.5113,DISCH,27.75
85023,4.1963,4.2075,4.1859,50.96,0.5083,DISCH,27.76
86031,4.1971,4.2084,4.1867,50.725,0.5098,DISCH,27.78
87016,4.1993,4.2101,4.1881,50.556,0.5079,DISCH,27.77
88038,4.1971,4.2075,4.1885,50.981,0.5101,DISCH,27.81
88961,4.1965,4.2072,4.1862,51.094,0.5101,DISCH,27.77
90015,4.1973,4.2094,4.1863,51.069,0.509,DISCH,27.74
