t_ms,Vbat_mean,Vbus_INA,Vbat_ADS,Vsh_mV,I_A,mode,T_C
1014,4.1832,4.1918,4.1693,49.4444,0.4933,DISCH,27.9615
2029,4.1795,4.1896,4.1698,50.2161,0.5024,DISCH,28.0114
3019,4.1809,4.1923,4.1683,49.8111,0.4974,DISCH,27.9745
4022,4.1837,4.1915,4.1677,49.5456,0.4953,DISCH,27.972
5015,4.179,4.1942,4.1703,50.2694,0.5028,DISCH,27.9847
6018,4.1817,4.1906,4.1704,49.9454,0.4966,DISCH,27.9809
7016,4.1807,4.1907,4.1687,50.2837,0.5037,DISCH,27.9756
8016,4.1805,4.1912,4.1702,50.087,0.5011,DISCH,28.0124
9026,4.1802,4.1905,4.1714,49.7683,0.4982,DISCH,27.9492
10027,4.1784,4.1916,4.1695,49.885,0.5011,DISCH,27.9568
11017,4.1814,4.19,4.1723,50.2115,0.5025,DISCH,28.0809
12006,4.18,4.1919,4.1676,50.4024,0.5037,DISCH,28.0522
13002,4.1814,4.1896,4.1679,50.0255,0.4993,DISCH,27.991
14000,4.1803,4.1924,4.1675,49.9204,0.4993,DISCH,28.0042
15003,4.1799,4.1936,4.1688,49.7169,0.4982,DISCH,27.9532
15988,4.1798,4.1894,4.1703,50.0698,0.4988,DISCH,28.0865
16986,4.1804,4.19,4.1708,49.9777,0.5008,DISCH,28.0701
17984,4.1787,4.1907,4.171,50.1979,0.4996,DISCH,27.9339
18977,4.1785,4.1913,4.1701,49.7914,0.4965,DISCH,28.0787
19978,4.1794,4.1912,4.1712,49.6777,0.4962,DISCH,28.07
20970,4.1804,4.1907,4.1665,50.5393,0.5045,DISCH,27.8988
21968,4.1795,4.1914,4.1687,50.209,0.5009,DISCH,28.0358
22961,4.1802,4.1917,4.169,49.8311,0.4987,DISCH,28.0452
23959,4.1788,4.1923,4.1681,49.1577,0.4915,DISCH,28.0281
24963,4.1822,4.1927,4.1712,49.5846,0.496,DISCH,27.9831
25966,4.1803,4.1877,4.1699,50.0014,0.5005,DISCH,28.0279
26967,4.1802,4.1871,4.1693,49.9578,0.501,DISCH,27.9984
27982,4.1801,4.1936,4.1674,50.2376,0.5028,DISCH,27.958
28972,4.1821,4.1938,4.1665,50.4208,0.505,DISCH,28.047
29982,4.1805,4.1895,4.1693,50.1068,0.5014,DISCH,28.0218
30981,4.1761,4.1893,4.167,49.7855,0.4967,DISCH,28.0082
31984,4.1793,4.1931,4.1674,49.7306,0.4985,DISCH,28.0263
32977,4.1776,4.1865,4.166,50.1527,0.5015,DISCH,28.0151
33977,4.1774,4.1917,4.1683,50.3748,0.5036,DISCH,28.1254
34968,4.1768,4.1919,4.1667,49.9786,0.4988,DISCH,27.9896
35980,4.1785,4.1892,4.1686,50.1922,0.5017,DISCH,27.969
36981,4.1772,4.1897,4.1685,49.2126,0.4924,DISCH,27.9919
37976,4.1787,4.19,4.1699,50.3713,0.5033,DISCH,27.9498
38967,4.1785,4.1907,4.1666,50.5092,0.5046,DISCH,28.0287
39966,4.1807,4.1909,4.1667,49.0358,0.4891,DISCH,27.9451
40967,4.1772,4.1909,4.1685,50.4226,0.5045,DISCH,28.074
41963,4.1755,4.187,4.1708,50.3588,0.501,DISCH,28.0395
42968,4.1755,4.1889,4.1677,49.9981,0.5009,DISCH,28.0163
43968,4.178,4.1897,4.1661,50.5257,0.5038,DISCH,28.0942
44966,4.1807,4.1888,4.1643,50.1087,0.502,DISCH,28.0778
45971,4.18,4.1888,4.1645,49.9961,0.4996,DISCH,27.9955
46969,4.1775,4.1883,4.1697,49.6209,0.4977,DISCH,28.0081
47980,4.1807,4.188,4.1657,50.0497,0.5001,DISCH,28.0098
48976,4.1775,4.1867,4.167,49.7758,0.4962,DISCH,27.9694
49969,4.1807,4.1903,4.1692,50.077,0.5012,DISCH,28.1111
50984,4.1786,4.19,4.1645,49.1182,0.4916,DISCH,28.0412
