t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w
0,3.2053666666666665,3.356,3.1982,49.1257,0.49156666666666665,CHG,27.973866666666666,0.0,0.0,1.5756520633333333
2671,3.2043,3.3513,3.2085,49.1997,0.491325,CHG,27.9678,2.671,2.671,1.5743539625
5342,3.20348,3.3557,3.2165,49.1681,0.49132,CHG,27.99264,5.342,2.671,1.573934822
8013,3.20334,3.348,3.2072,49.0609,0.49108,CHG,27.97146,8.013,2.6710000000000003,1.57309791
10684,3.2010599999999996,3.3452,3.1952,49.1348,0.491,CHG,27.925819999999998,10.684,2.6709999999999994,1.5717207700000002
13355,3.1999400000000002,3.3494,3.2038,49.0251,0.49078,CHG,27.93314,13.355,2.671000000000001,1.5704655840000001
16026,3.2011600000000002,3.341,3.1853,49.1553,0.49062,CHG,27.974200000000003,16.026,2.6709999999999994,1.570550964
18697,3.2014400000000003,3.3569,3.2057,49.0529,0.49038000000000004,CHG,27.937459999999998,18.697,2.6709999999999994,1.569920144
21369,3.20358,3.356,3.1971,48.9857,0.49044,CHG,27.967920000000003,21.369,2.6720000000000006,1.571161422
24040,3.20512,3.3441,3.1996,49.0164,0.4902,CHG,27.98886,24.04,2.6709999999999994,1.5711496600000001
26711,3.2050399999999994,3.3578,3.216,49.035,0.49047999999999997,CHG,28.002519999999997,26.711,2.6709999999999994,1.572007064
29383,3.20364,3.3477,3.1957,49.0397,0.4906,CHG,27.9767,29.383,2.6720000000000006,1.571705368
32054,3.20368,3.3591,3.2091,49.1984,0.49071999999999993,CHG,28.00946,32.054,2.671000000000003,1.5721091880000002
34725,3.20282,3.353,3.2064,49.0432,0.49078,CHG,28.046479999999995,34.725,2.6709999999999994,1.57187995
37396,3.20248,3.3569,3.2033,49.0789,0.49084000000000005,CHG,28.047739999999997,37.396,2.6709999999999994,1.5719053139999999
40067,3.2016,3.3557,3.2067,49.065,0.49047999999999997,CHG,28.068540000000002,40.067,2.6709999999999994,1.5703211979999998
42738,3.2013999999999996,3.3499,3.2055,49.0633,0.49038000000000004,CHG,28.061239999999998,42.738,2.6709999999999994,1.569903198
45409,3.2006799999999997,3.3452,3.1957,49.0199,0.49028,CHG,28.064159999999998,45.409,2.6709999999999994,1.5692300739999998
48080,3.20004,3.3482,3.1991,48.9931,0.49022,CHG,28.00454,48.08,2.6709999999999994,1.568723862
50751,3.20146,3.3464,3.2057,49.0222,0.49012,CHG,28.0191,50.751,2.6709999999999994,1.569099694
53422,3.20226,3.3523,3.2038,49.0339,0.49056,CHG,27.975299999999997,53.422,2.6709999999999994,1.57090061
56093,3.2037999999999998,3.3574,3.2161,49.0197,0.49118000000000006,CHG,28.011380000000003,56.093,2.6710000000000065,1.5736433340000002
58765,3.2034599999999998,3.3603,3.205,49.235,0.49162,CHG,28.00956,58.765,2.671999999999997,1.574883126
61436,3.2034400000000005,3.3507,3.2087,49.3029,0.49204,CHG,28.042039999999997,61.436,2.6709999999999994,1.5762188739999998
64107,3.20428,3.346,3.1944,49.2442,0.49254,CHG,28.04916,64.107,2.6709999999999994,1.578236758
66778,3.2047600000000003,3.3569,3.2002,49.2477,0.49256,CHG,28.07434,66.778,2.6710000000000065,1.5785371480000001
69449,3.2051600000000002,3.3732,3.2136,49.2657,0.49226000000000003,CHG,28.01704,69.449,2.6709999999999923,1.577771678
72120,3.20792,3.3545,3.2011,49.2427,0.49246,CHG,28.008979999999998,72.12,2.6710000000000065,1.579772762
74791,3.20886,3.3577,3.2035,49.1513,0.49244000000000004,CHG,27.996299999999998,74.791,2.6709999999999923,1.5801714500000001
77462,3.20726,3.3608,3.2084,49.3405,0.49222,CHG,27.984199999999998,77.462,2.6710000000000065,1.578678322
