t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w
0.0,4.192966666666666,4.2128,4.1803,47.9176,0.4485333333333334,DISCH,28.148066666666665,0.0,0.0,1.88062152
980.7725,4.19435,4.2012,4.1901,44.613,0.450525,DISCH,28.12925,0.9807725,0.9807725,1.8896199525
1972.7608,4.1964,4.2066,4.1822,48.0993,0.4481,DISCH,28.12552,1.9727608,0.9919883,1.88035529
3009.0092,4.19692,4.2127,4.182,47.7458,0.4514,DISCH,28.13282,3.0090092,1.0362483999999998,1.8944402840000003
4028.1153,4.19564,4.202,4.1922,45.8522,0.45694,DISCH,28.1692,4.0281153,1.0191060999999997,1.917119322
5018.2225,4.196859999999999,4.2094,4.1783,49.6739,0.45535999999999993,DISCH,28.154420000000005,5.0182225,0.9901072000000006,1.911055704
6037.5116,4.19682,4.204,4.1873,47.6393,0.4622,DISCH,28.17556,6.0375116,1.0192891,1.939753816
7040.2025,4.19456,4.2015,4.1878,47.2831,0.45446,DISCH,28.154380000000003,7.0402025,1.0026909000000002,1.9063068900000002
8114.8979,4.195639999999999,4.2134,4.188,51.257,0.44684,DISCH,28.131620000000005,8.1148979,1.0746954000000004,1.8748062
9096.6612,4.19682,4.2101,4.182,41.8046,0.45058,DISCH,28.13906,9.0966612,0.981763299999999,1.8910437779999998
10145.0867,4.19664,4.2144,4.1844,45.5949,0.45536000000000004,DISCH,28.143520000000002,10.1450867,1.0484255000000005,1.91100062
11183.4725,4.19658,4.2043,4.1886,49.462,0.4457000000000001,DISCH,28.12088,11.1834725,1.0383858000000004,1.870418498
12196.9836,4.1974800000000005,4.2084,4.1892,49.8715,0.45626,DISCH,28.157439999999998,12.1969836,1.0135110999999988,1.915106996
13234.9134,4.1962600000000005,4.2091,4.177,46.2772,0.45649999999999996,DISCH,28.158300000000004,13.2349134,1.0379298000000006,1.915580582
14279.5671,4.19608,4.2058,4.1849,47.3011,0.45052000000000003,DISCH,28.1245,14.2795671,1.0446536999999996,1.890395552
15281.0884,4.19708,4.2021,4.1855,45.7992,0.44673999999999997,DISCH,28.115459999999995,15.2810884,1.0015213000000003,1.8750066140000001
