t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w
1014,4.1812000000000005,4.1918,4.1693,49.4444,0.49770000000000003,DISCH,27.982466666666667,0.0,0.0,2.0809776733333334
2029,4.181825,4.1896,4.1698,50.2161,0.4971,DISCH,27.97985,1.015,1.015,2.0787799075000004
3019,4.18126,4.1923,4.1683,49.8111,0.49824,DISCH,27.98082,2.005,0.99,2.083264166
4022,4.180960000000001,4.1915,4.1677,49.5456,0.4989,DISCH,27.984699999999997,3.008,1.0030000000000001,2.085876098
5015,4.1812,4.1942,4.1703,50.2694,0.49916,DISCH,27.977539999999998,4.001,0.9930000000000003,2.087083656
6018,4.18112,4.1906,4.1704,49.9454,0.49989999999999996,DISCH,27.985120000000002,5.004,1.0029999999999992,2.090137434
7016,4.18042,4.1907,4.1687,50.2837,0.50048,DISCH,27.980560000000004,6.002,0.9980000000000002,2.09221524
8016,4.1803,4.1912,4.1702,50.087,0.50014,DISCH,27.97498,7.002,1.0,2.0907342479999995
9026,4.1802399999999995,4.1905,4.1714,49.7683,0.50132,DISCH,27.994980000000005,8.012,1.0100000000000007,2.095638504
10027,4.1801,4.1916,4.1695,49.885,0.50132,DISCH,28.0103,9.013,1.0009999999999994,2.095567986
11017,4.18028,4.19,4.1723,50.2115,0.50096,DISCH,28.00602,10.003,0.9900000000000002,2.09415288
12006,4.1803,4.1919,4.1676,50.4024,0.50118,DISCH,28.017020000000002,10.992,0.9890000000000008,2.09508251
13002,4.1806,4.1896,4.1679,50.0255,0.5006,DISCH,28.0163,11.988,0.9959999999999987,2.0928084979999997
14000,4.180280000000001,4.1924,4.1675,49.9204,0.49985999999999997,DISCH,28.017419999999998,12.986,0.9980000000000011,2.089554646
15003,4.18036,4.1936,4.1688,49.7169,0.49928,DISCH,28.021000000000004,13.989,1.0030000000000001,2.08717031
15988,4.17982,4.1894,4.1703,50.0698,0.49934,DISCH,28.00958,14.974,0.9849999999999994,2.0871514099999997
16986,4.179460000000001,4.19,4.1708,49.9777,0.49878,DISCH,28.02448,15.972,0.9979999999999993,2.0846317020000003
17984,4.17936,4.1907,4.171,50.1979,0.49837999999999993,DISCH,28.04784,16.97,0.9979999999999993,2.082910122
18977,4.17948,4.1913,4.1701,49.7914,0.49951999999999996,DISCH,28.0103,17.963,0.9930000000000021,2.087735634
19978,4.1793,4.1912,4.1712,49.6777,0.49954,DISCH,28.00344,18.964,1.0009999999999977,2.08772908
20970,4.1796,4.1907,4.1665,50.5393,0.49935999999999997,DISCH,28.0257,19.956,0.9920000000000009,2.087126524
21968,4.17966,4.1914,4.1687,50.209,0.4983599999999999,DISCH,28.01558,20.954,0.9980000000000011,2.082977514
22961,4.18022,4.1917,4.169,49.8311,0.49832,DISCH,27.998200000000004,21.947,0.9929999999999986,2.083088098
23959,4.1802,4.1923,4.1681,49.1577,0.49752,DISCH,28.024019999999997,22.945,0.9980000000000011,2.079733768
24963,4.180339999999999,4.1927,4.1712,49.5846,0.49754,DISCH,28.01654,23.949,1.0040000000000013,2.079887498
